locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGHJBNO_00380	CDS	456	perR		COG0735	Peroxide-responsive repressor PerR
EHGHJBNO_00381	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EHGHJBNO_00382	CDS	762	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
EHGHJBNO_00383	CDS	486	hmpT		COG4720	Thiamine precursor transporter HmpT
EHGHJBNO_00384	CDS	564				hypothetical protein
EHGHJBNO_00385	CDS	771				hypothetical protein
EHGHJBNO_00386	CDS	435	ywnA_2		COG1959	Putative HTH-type transcriptional regulator YwnA
EHGHJBNO_00387	CDS	1002	adh	1.1.1.1		Alcohol dehydrogenase
EHGHJBNO_00388	CDS	846	carC	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
EHGHJBNO_00389	CDS	864				hypothetical protein
EHGHJBNO_00390	CDS	879				hypothetical protein
EHGHJBNO_00391	CDS	1212	namA	1.6.99.1		NADPH dehydrogenase
EHGHJBNO_00392	CDS	567				hypothetical protein
EHGHJBNO_00393	CDS	1020	aes_1	3.1.1.-		Acetyl esterase
EHGHJBNO_00394	CDS	888	aes_2	3.1.1.-		Acetyl esterase
EHGHJBNO_00395	CDS	600				hypothetical protein
EHGHJBNO_00396	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
EHGHJBNO_00397	CDS	777		2.4.2.-	COG2071	Putative glutamine amidotransferase
EHGHJBNO_00398	CDS	1398			COG0531	putative transporter
EHGHJBNO_00399	CDS	381			COG0251	RutC family protein
EHGHJBNO_00400	CDS	1137	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
EHGHJBNO_00401	CDS	1398		3.4.13.-		Putative dipeptidase
EHGHJBNO_00402	CDS	693				hypothetical protein
EHGHJBNO_00403	CDS	699				hypothetical protein
EHGHJBNO_00404	CDS	678				hypothetical protein
EHGHJBNO_00405	CDS	1443				hypothetical protein
EHGHJBNO_00406	CDS	2145				hypothetical protein
EHGHJBNO_00407	CDS	126				hypothetical protein
EHGHJBNO_00408	CDS	1398				hypothetical protein
EHGHJBNO_00409	CDS	921	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
EHGHJBNO_00410	CDS	3156				hypothetical protein
EHGHJBNO_00411	CDS	582	rpoE			putative DNA-directed RNA polymerase subunit delta
EHGHJBNO_00412	CDS	1605	pyrG	6.3.4.2	COG0504	CTP synthase
EHGHJBNO_00413	tRNA	86				tRNA-Leu(aag)
EHGHJBNO_00414	CDS	882	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
EHGHJBNO_00415	CDS	189	rpmB		COG0227	50S ribosomal protein L28
EHGHJBNO_00416	CDS	618			COG2826	IS30 family transposase ISSpn8
EHGHJBNO_00417	rRNA	1545				16S ribosomal RNA
EHGHJBNO_00418	tRNA	75				tRNA-Ala(tgc)
EHGHJBNO_00419	rRNA	2901				23S ribosomal RNA
EHGHJBNO_00420	rRNA	109				5S ribosomal RNA
EHGHJBNO_00421	tRNA	75				tRNA-Asn(gtt)
EHGHJBNO_00422	tRNA	74				tRNA-Glu(ttc)
EHGHJBNO_00423	CDS	2019	recG	3.6.4.12		ATP-dependent DNA helicase RecG
EHGHJBNO_00424	CDS	960	ansB	3.5.1.1	COG0252	L-asparaginase 2
EHGHJBNO_00425	CDS	846		3.1.3.-	COG0561	Putative phosphatase
EHGHJBNO_00426	CDS	519				hypothetical protein
EHGHJBNO_00427	CDS	453				Putative universal stress protein
EHGHJBNO_00428	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EHGHJBNO_00429	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
EHGHJBNO_00430	CDS	552				hypothetical protein
EHGHJBNO_00431	CDS	348	rplS		COG0335	50S ribosomal protein L19
EHGHJBNO_00432	CDS	675				hypothetical protein
EHGHJBNO_00433	CDS	303	gatC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
EHGHJBNO_00434	CDS	1467	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
EHGHJBNO_00435	CDS	1440	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
EHGHJBNO_00436	CDS	999	melR		COG1609	HTH-type transcriptional repressor MelR
EHGHJBNO_00437	CDS	1164	galK_2	2.7.1.6	COG0153	Galactokinase
EHGHJBNO_00438	CDS	1479	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
EHGHJBNO_00439	CDS	909	yicL		COG0697	putative inner membrane transporter YicL
EHGHJBNO_00440	CDS	630	cutC_1		COG3142	Copper homeostasis protein CutC
EHGHJBNO_00441	CDS	678				hypothetical protein
EHGHJBNO_00442	CDS	528	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EHGHJBNO_00443	CDS	1107	yqeH		COG1161	putative protein YqeH
EHGHJBNO_00444	CDS	312	yhbY		COG1534	RNA-binding protein YhbY
EHGHJBNO_00445	CDS	633	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
EHGHJBNO_00446	CDS	588				hypothetical protein
EHGHJBNO_00447	CDS	456	bltD_2	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
EHGHJBNO_00448	CDS	510	sttH	3.5.2.19		Streptothricin hydrolase
EHGHJBNO_00449	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
EHGHJBNO_00450	CDS	747	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EHGHJBNO_00451	CDS	1941				hypothetical protein
EHGHJBNO_00452	CDS	1089	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
EHGHJBNO_00453	CDS	627				hypothetical protein
EHGHJBNO_00454	CDS	606	mta		COG0789	HTH-type transcriptional activator mta
EHGHJBNO_00455	CDS	1746				hypothetical protein
EHGHJBNO_00456	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
EHGHJBNO_00457	CDS	2100	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
EHGHJBNO_00458	CDS	1509	malQ_1	2.4.1.25	COG1640	4-alpha-glucanotransferase
EHGHJBNO_00459	CDS	2265	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
EHGHJBNO_00460	CDS	708	treR_2		COG2188	HTH-type transcriptional regulator TreR
EHGHJBNO_00461	CDS	792	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
EHGHJBNO_00462	CDS	2169	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
EHGHJBNO_00463	CDS	627				hypothetical protein
EHGHJBNO_00464	CDS	312				hypothetical protein
EHGHJBNO_00465	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
EHGHJBNO_00466	CDS	297				IS200/IS605 family transposase ISDha13
EHGHJBNO_00467	CDS	849	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
EHGHJBNO_00468	CDS	549				hypothetical protein
EHGHJBNO_00469	CDS	921				hypothetical protein
EHGHJBNO_00470	CDS	984				hypothetical protein
EHGHJBNO_00471	CDS	165				hypothetical protein
EHGHJBNO_00472	CDS	1674	ykoD_2	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
EHGHJBNO_00473	CDS	834	ecfT_2		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
EHGHJBNO_00474	CDS	204	cspC		COG1278	Cold shock protein CspC
EHGHJBNO_00475	CDS	714	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
EHGHJBNO_00476	CDS	2175	ponA		COG0744	Penicillin-binding protein 1A
EHGHJBNO_00477	CDS	618	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
EHGHJBNO_00478	CDS	540				hypothetical protein
EHGHJBNO_00479	CDS	336	gpsB		COG3599	Cell cycle protein GpsB
EHGHJBNO_00480	CDS	117				hypothetical protein
EHGHJBNO_00481	CDS	1167	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EHGHJBNO_00482	CDS	1455	mapZ			Mid-cell-anchored protein Z
EHGHJBNO_00483	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
EHGHJBNO_00484	CDS	1614	rny	3.1.-.-	COG1418	Ribonuclease Y
EHGHJBNO_00485	CDS	627	gmk	2.7.4.8	COG0194	Guanylate kinase
EHGHJBNO_00486	CDS	315	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
EHGHJBNO_00487	CDS	2391	priA	3.6.4.-	COG1198	Primosomal protein N'
EHGHJBNO_00488	CDS	939	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
EHGHJBNO_00489	CDS	1311	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
EHGHJBNO_00490	CDS	738	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
EHGHJBNO_00491	CDS	1995	stkP	2.7.11.1	COG0515	Serine/threonine-protein kinase StkP
EHGHJBNO_00492	CDS	696				hypothetical protein
EHGHJBNO_00493	CDS	1017				hypothetical protein
EHGHJBNO_00494	CDS	642	vraR			Response regulator protein VraR
EHGHJBNO_00495	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
EHGHJBNO_00496	CDS	372	yugI		COG1098	General stress protein 13
EHGHJBNO_00497	CDS	927	cysK	2.5.1.47		Cysteine synthase
EHGHJBNO_00498	CDS	633				hypothetical protein
EHGHJBNO_00499	CDS	1293	comFA	3.6.4.12	COG4098	ComF operon protein 1
EHGHJBNO_00500	CDS	666				hypothetical protein
EHGHJBNO_00501	CDS	543	hpf			Ribosome hibernation promotion factor
EHGHJBNO_00502	rRNA	1545				16S ribosomal RNA
EHGHJBNO_00503	tRNA	75				tRNA-Ala(tgc)
EHGHJBNO_00504	rRNA	2901				23S ribosomal RNA
EHGHJBNO_00505	rRNA	109				5S ribosomal RNA
EHGHJBNO_00506	tRNA	75				tRNA-Val(tac)
EHGHJBNO_00507	tRNA	73				tRNA-Asp(gtc)
EHGHJBNO_00508	tRNA	73				tRNA-Lys(ttt)
EHGHJBNO_00509	tRNA	84				tRNA-Leu(tag)
EHGHJBNO_00510	tRNA	73				tRNA-Thr(tgt)
EHGHJBNO_00511	tRNA	72				tRNA-Gly(gcc)
EHGHJBNO_00512	tRNA	84				tRNA-Leu(taa)
EHGHJBNO_00513	tRNA	74				tRNA-Arg(acg)
EHGHJBNO_00514	tRNA	76				tRNA-Pro(tgg)
EHGHJBNO_00515	CDS	1674				hypothetical protein
EHGHJBNO_00516	CDS	108				hypothetical protein
EHGHJBNO_00517	CDS	435				hypothetical protein
EHGHJBNO_00518	CDS	2139	copB	7.2.2.8		Copper-exporting P-type ATPase B
EHGHJBNO_00519	CDS	453	copY_2			Transcriptional repressor CopY
EHGHJBNO_00520	CDS	339	cadC			Cadmium resistance transcriptional regulatory protein CadC
EHGHJBNO_00521	CDS	393				hypothetical protein
EHGHJBNO_00522	CDS	762				hypothetical protein
EHGHJBNO_00523	CDS	1632	rlmD	2.1.1.190		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
EHGHJBNO_00524	CDS	777	recX			Regulatory protein RecX
EHGHJBNO_00525	CDS	534				hypothetical protein
EHGHJBNO_00526	CDS	318				hypothetical protein
EHGHJBNO_00527	CDS	732	mngR		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
EHGHJBNO_00528	CDS	711	gamR			HTH-type transcriptional repressor GamR
EHGHJBNO_00529	CDS	1773	bga	3.2.1.23		Beta-galactosidase
EHGHJBNO_00530	CDS	486	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
EHGHJBNO_00531	CDS	894				hypothetical protein
EHGHJBNO_00532	CDS	819	manZ_1		COG3716	PTS system mannose-specific EIID component
EHGHJBNO_00533	CDS	402				hypothetical protein
EHGHJBNO_00534	CDS	1002	galM	5.1.3.3	COG2017	Aldose 1-epimerase
EHGHJBNO_00535	CDS	255				hypothetical protein
EHGHJBNO_00536	CDS	387				hypothetical protein
EHGHJBNO_00537	CDS	390				hypothetical protein
EHGHJBNO_00538	CDS	573				hypothetical protein
EHGHJBNO_00539	CDS	2652	valS	6.1.1.9	COG0525	Valine--tRNA ligase
EHGHJBNO_00540	CDS	1263				hypothetical protein
EHGHJBNO_00541	CDS	2874	uvrB_1			UvrABC system protein B
EHGHJBNO_00542	CDS	393	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
EHGHJBNO_00543	CDS	1050				hypothetical protein
EHGHJBNO_00544	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
EHGHJBNO_00545	CDS	1848	typA		COG1217	GTP-binding protein TypA/BipA
EHGHJBNO_00546	CDS	291				hypothetical protein
EHGHJBNO_00547	CDS	1344	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
EHGHJBNO_00548	CDS	1065	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EHGHJBNO_00549	CDS	1083	divIB			Cell division protein DivIB
EHGHJBNO_00550	CDS	1380	ftsA_1		COG0849	Cell division protein FtsA
EHGHJBNO_00551	CDS	1230	ftsZ		COG0206	Cell division protein FtsZ
EHGHJBNO_00552	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
EHGHJBNO_00553	CDS	567	sepF		COG1799	Cell division protein SepF
EHGHJBNO_00554	CDS	264				hypothetical protein
EHGHJBNO_00555	CDS	726				hypothetical protein
EHGHJBNO_00556	CDS	690	divIVA		COG3599	Cell division protein DivIVA
EHGHJBNO_00557	CDS	444				hypothetical protein
EHGHJBNO_00558	CDS	2790	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
EHGHJBNO_00559	CDS	309				hypothetical protein
EHGHJBNO_00560	CDS	462				hypothetical protein
EHGHJBNO_00561	CDS	2229	clpE		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpE
EHGHJBNO_00562	CDS	231				hypothetical protein
EHGHJBNO_00563	CDS	690	artQ		COG0765	Arginine transport system permease protein ArtQ
EHGHJBNO_00564	CDS	735	glnQ_2			Glutamine transport ATP-binding protein GlnQ
EHGHJBNO_00565	CDS	849	folD		COG0190	Bifunctional protein FolD protein
EHGHJBNO_00566	CDS	2190				hypothetical protein
EHGHJBNO_00567	CDS	399				hypothetical protein
EHGHJBNO_00568	CDS	4467				hypothetical protein
EHGHJBNO_00569	CDS	708				hypothetical protein
EHGHJBNO_00570	CDS	1980	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
EHGHJBNO_00571	CDS	1410				hypothetical protein
EHGHJBNO_00572	CDS	708				hypothetical protein
EHGHJBNO_00573	CDS	645	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EHGHJBNO_00574	CDS	1359	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
EHGHJBNO_00575	CDS	546				hypothetical protein
EHGHJBNO_00576	CDS	2649				hypothetical protein
EHGHJBNO_00577	CDS	552				hypothetical protein
EHGHJBNO_00578	CDS	1107				hypothetical protein
EHGHJBNO_00579	CDS	909				hypothetical protein
EHGHJBNO_00580	CDS	1344	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
EHGHJBNO_00581	CDS	216	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
EHGHJBNO_00582	CDS	870				hypothetical protein
EHGHJBNO_00583	CDS	822	tlyA		COG1189	Hemolysin A
EHGHJBNO_00584	CDS	426	argR_1		COG1438	Arginine repressor
EHGHJBNO_00585	CDS	1662	recN		COG0497	DNA repair protein RecN
EHGHJBNO_00586	CDS	834			COG1307	DegV domain-containing protein
EHGHJBNO_00587	CDS	834				hypothetical protein
EHGHJBNO_00588	CDS	597				hypothetical protein
EHGHJBNO_00589	CDS	276	hup		COG0776	DNA-binding protein HU
EHGHJBNO_00590	CDS	468				hypothetical protein
EHGHJBNO_00591	CDS	1260	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
EHGHJBNO_00592	CDS	1155	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
EHGHJBNO_00593	CDS	1185	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
EHGHJBNO_00594	CDS	693	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EHGHJBNO_00595	CDS	384	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
EHGHJBNO_00596	CDS	1398	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
EHGHJBNO_00597	CDS	1083	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
EHGHJBNO_00598	CDS	987	iolU_2	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
EHGHJBNO_00599	CDS	630	udk	2.7.1.48	COG0572	Uridine kinase
EHGHJBNO_00600	CDS	540				hypothetical protein
EHGHJBNO_00601	CDS	270				hypothetical protein
EHGHJBNO_00602	CDS	498	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
EHGHJBNO_00603	CDS	1668	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
EHGHJBNO_00604	CDS	189				hypothetical protein
EHGHJBNO_00605	CDS	957	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
EHGHJBNO_00606	CDS	1035	pepA_2	3.4.11.7	COG1363	Glutamyl aminopeptidase
EHGHJBNO_00607	CDS	738				hypothetical protein
EHGHJBNO_00608	CDS	468	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
EHGHJBNO_00609	CDS	1191	metK_1	2.5.1.6		S-adenosylmethionine synthase
EHGHJBNO_00610	CDS	612	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
EHGHJBNO_00611	CDS	1260	murA1_1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EHGHJBNO_00612	CDS	573				hypothetical protein
EHGHJBNO_00613	CDS	861	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
EHGHJBNO_00614	CDS	924				hypothetical protein
EHGHJBNO_00615	CDS	438				hypothetical protein
EHGHJBNO_00616	CDS	516	queT		COG4708	Queuosine precursor transporter QueT
EHGHJBNO_00617	CDS	843		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
EHGHJBNO_00618	CDS	2157	yhgF		COG2183	Protein YhgF
EHGHJBNO_00619	CDS	435				Protein SprT-like protein
EHGHJBNO_00620	CDS	762				hypothetical protein
EHGHJBNO_00621	CDS	273				hypothetical protein
EHGHJBNO_00622	CDS	942	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
EHGHJBNO_00623	CDS	933	hprK	2.7.11.-		HPr kinase/phosphorylase
EHGHJBNO_00624	CDS	777	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EHGHJBNO_00625	CDS	414				hypothetical protein
EHGHJBNO_00626	CDS	537				putative protein
EHGHJBNO_00627	CDS	336	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
EHGHJBNO_00628	CDS	825		2.4.2.-		Protein ADP-ribosyltransferase
EHGHJBNO_00629	CDS	747		3.2.1.-		Protein-ADP-ribose hydrolase
EHGHJBNO_00630	CDS	978		1.3.1.103		2-haloacrylate reductase
EHGHJBNO_00631	CDS	450				hypothetical protein
EHGHJBNO_00632	CDS	732	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
EHGHJBNO_00633	CDS	1512				hypothetical protein
EHGHJBNO_00634	CDS	762				hypothetical protein
EHGHJBNO_00635	CDS	1125	vioD	4.2.1.145		Capreomycidine synthase
EHGHJBNO_00636	CDS	1182				hypothetical protein
EHGHJBNO_00637	CDS	684	graR_1		COG0745	Response regulator protein GraR
EHGHJBNO_00638	CDS	993	graS_1	2.7.13.3	COG0642	Sensor histidine kinase GraS
EHGHJBNO_00639	CDS	759	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
EHGHJBNO_00640	CDS	2004				hypothetical protein
EHGHJBNO_00641	CDS	165				hypothetical protein
EHGHJBNO_00642	CDS	318				hypothetical protein
EHGHJBNO_00643	CDS	795				hypothetical protein
EHGHJBNO_00644	CDS	117				hypothetical protein
EHGHJBNO_00645	CDS	699	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
EHGHJBNO_00646	CDS	1563	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
EHGHJBNO_00647	CDS	1032				hypothetical protein
EHGHJBNO_00648	CDS	1239				hypothetical protein
EHGHJBNO_00649	CDS	657				hypothetical protein
EHGHJBNO_00650	CDS	339				hypothetical protein
EHGHJBNO_00651	CDS	1092				hypothetical protein
EHGHJBNO_00652	CDS	3066	hsdR	3.1.21.3		Type I restriction enzyme EcoR124II R protein
EHGHJBNO_00653	CDS	1557				hypothetical protein
EHGHJBNO_00654	CDS	864				hypothetical protein
EHGHJBNO_00655	CDS	288				hypothetical protein
EHGHJBNO_00656	CDS	351				hypothetical protein
EHGHJBNO_00657	CDS	279				hypothetical protein
EHGHJBNO_00658	CDS	207				hypothetical protein
EHGHJBNO_00659	CDS	192				hypothetical protein
EHGHJBNO_00660	CDS	231				hypothetical protein
EHGHJBNO_00661	CDS	276				hypothetical protein
EHGHJBNO_00662	CDS	624				hypothetical protein
EHGHJBNO_00663	CDS	198				hypothetical protein
EHGHJBNO_00664	CDS	846				hypothetical protein
EHGHJBNO_00665	CDS	1167	xerC			Tyrosine recombinase XerC
EHGHJBNO_00666	CDS	237				hypothetical protein
EHGHJBNO_00667	CDS	699	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
EHGHJBNO_00668	CDS	558				hypothetical protein
EHGHJBNO_00669	CDS	1269	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
EHGHJBNO_00670	CDS	474				hypothetical protein
EHGHJBNO_00671	CDS	315				hypothetical protein
EHGHJBNO_00672	CDS	1383	glmU		COG1207	Bifunctional protein GlmU
EHGHJBNO_00673	CDS	546	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
EHGHJBNO_00674	CDS	321				hypothetical protein
EHGHJBNO_00675	CDS	690	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EHGHJBNO_00676	CDS	849				hypothetical protein
EHGHJBNO_00677	CDS	531				hypothetical protein
EHGHJBNO_00678	CDS	4233				hypothetical protein
EHGHJBNO_00679	CDS	1539				hypothetical protein
EHGHJBNO_00680	CDS	876				hypothetical protein
EHGHJBNO_00681	CDS	804				hypothetical protein
EHGHJBNO_00682	CDS	354				hypothetical protein
EHGHJBNO_00683	CDS	378				hypothetical protein
EHGHJBNO_00684	CDS	540				hypothetical protein
EHGHJBNO_00685	CDS	990	rbsR_1		COG1609	Ribose operon repressor
EHGHJBNO_00686	CDS	921	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
EHGHJBNO_00687	CDS	888	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
EHGHJBNO_00688	CDS	1611				hypothetical protein
EHGHJBNO_00689	CDS	1359	sacA	3.2.1.26		Sucrose-6-phosphate hydrolase
EHGHJBNO_00690	CDS	2370	ftsK		COG1674	DNA translocase FtsK
EHGHJBNO_00691	CDS	387				hypothetical protein
EHGHJBNO_00692	CDS	369				hypothetical protein
EHGHJBNO_00693	CDS	426	rplK			50S ribosomal protein L11
EHGHJBNO_00694	CDS	690	rplA			50S ribosomal protein L1
EHGHJBNO_00695	CDS	291				hypothetical protein
EHGHJBNO_00696	CDS	789	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
EHGHJBNO_00697	CDS	1749	murJ_1		COG2244	Lipid II flippase MurJ
EHGHJBNO_00698	CDS	732	pyrH	2.7.4.22	COG0528	Uridylate kinase
EHGHJBNO_00699	CDS	558	frr			Ribosome-recycling factor
EHGHJBNO_00700	CDS	855	cvfB			Conserved virulence factor B
EHGHJBNO_00701	CDS	921	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EHGHJBNO_00702	CDS	456				hypothetical protein
EHGHJBNO_00703	CDS	189				hypothetical protein
EHGHJBNO_00704	CDS	1023			COG1702	PhoH-like protein
EHGHJBNO_00705	CDS	504				hypothetical protein
EHGHJBNO_00706	CDS	639		3.-.-.-		putative metallo-hydrolase
EHGHJBNO_00707	CDS	2232	dinG_1	3.1.-.-		3'-5' exonuclease DinG
EHGHJBNO_00708	CDS	201	dinG_2	3.1.-.-		3'-5' exonuclease DinG
EHGHJBNO_00709	CDS	1077	proB	2.7.2.11	COG0263	Glutamate 5-kinase 1
EHGHJBNO_00710	CDS	1239	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
EHGHJBNO_00711	CDS	786	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EHGHJBNO_00712	CDS	405				hypothetical protein
EHGHJBNO_00713	CDS	852			COG1307	DegV domain-containing protein
EHGHJBNO_00714	CDS	1260	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
EHGHJBNO_00715	CDS	735	yaaA		COG3022	Peroxide stress resistance protein YaaA
EHGHJBNO_00716	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EHGHJBNO_00717	CDS	690	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
EHGHJBNO_00718	CDS	684	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
EHGHJBNO_00719	CDS	732	cpsB	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
EHGHJBNO_00720	CDS	1827	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
EHGHJBNO_00721	CDS	603	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
EHGHJBNO_00722	CDS	816	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
EHGHJBNO_00723	CDS	957				hypothetical protein
EHGHJBNO_00724	CDS	918				hypothetical protein
EHGHJBNO_00725	CDS	1068				hypothetical protein
EHGHJBNO_00726	CDS	960				hypothetical protein
EHGHJBNO_00727	CDS	720	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EHGHJBNO_00728	CDS	1056	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
EHGHJBNO_00729	CDS	1392				hypothetical protein
EHGHJBNO_00730	CDS	1113	glf_1	5.4.99.9	COG0562	UDP-galactopyranose mutase
EHGHJBNO_00731	CDS	546				hypothetical protein
EHGHJBNO_00732	CDS	450	mhqR		COG1846	HTH-type transcriptional regulator MhqR
EHGHJBNO_00733	CDS	498				hypothetical protein
EHGHJBNO_00734	CDS	1182	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
EHGHJBNO_00735	CDS	1347	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
EHGHJBNO_00736	CDS	228				hypothetical protein
EHGHJBNO_00737	CDS	270				hypothetical protein
EHGHJBNO_00738	CDS	1320	yeeO_2		COG0534	putative FMN/FAD exporter YeeO
EHGHJBNO_00739	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
EHGHJBNO_00740	CDS	888	yvcJ		COG1660	Nucleotide-binding protein YvcJ
EHGHJBNO_00741	CDS	975			COG0391	Putative gluconeogenesis factor
